;country_name_short;country_name;election_date;start_date;cabinet_name;caretaker;cabinet_party;prime_minister;seats;election_seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;cabinet_id;previous_cabinet_id;party_id
31;AUS;Australia;12/2/1906;6/2/1909;Deakin III;0;1;1;16;75;PP;Protectionist Party;Protectionist Party;7.4;33;725;1002;1001;1898
32;AUS;Australia;12/2/1906;6/2/1909;Deakin III;0;0;0;2;75;WAP;Western Australian Party;Western Australian Party;6;33;725;1002;1001;1906
33;AUS;Australia;4/13/1910;4/29/1910;Fisher II;0;1;1;43;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;747;1003;1002;1253
34;AUS;Australia;4/13/1910;4/29/1910;Fisher II;0;0;0;31;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;747;1003;1002;2285
35;AUS;Australia;4/13/1910;4/29/1910;Fisher II;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;747;1003;1002;1396
36;AUS;Australia;5/31/1913;6/24/1913;Cook;0;0;0;37;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;748;1004;1003;1253
37;AUS;Australia;5/31/1913;6/24/1913;Cook;0;1;1;38;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;748;1004;1003;2285
38;AUS;Australia;9/5/1914;9/17/1914;Fisher III;0;1;1;42;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;724;1005;1004;1253
39;AUS;Australia;9/5/1914;9/17/1914;Fisher III;0;0;0;32;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;724;1005;1004;2285
40;AUS;Australia;9/5/1914;9/17/1914;Fisher III;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;724;1005;1004;1396
41;AUS;Australia;9/5/1914;10/27/1915;Hughes I;0;1;1;42;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;724;1006;1005;1253
42;AUS;Australia;9/5/1914;10/27/1915;Hughes I;0;0;0;32;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;724;1006;1005;2285
43;AUS;Australia;9/5/1914;10/27/1915;Hughes I;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;724;1006;1005;1396
44;AUS;Australia;9/5/1914;11/14/1916;Hughes II;0;0;0;18;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;724;1007;1006;1253
45;AUS;Australia;9/5/1914;11/14/1916;Hughes II;0;0;0;32;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;724;1007;1006;2285
46;AUS;Australia;9/5/1914;11/14/1916;Hughes II;0;1;1;24;75;NL;National Labor;National Labor;3.3;33;724;1007;1006;2003
47;AUS;Australia;9/5/1914;11/14/1916;Hughes II;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;724;1007;1006;1396
48;AUS;Australia;9/5/1914;2/17/1917;Hughes III;0;0;0;18;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;724;1008;1007;1253
49;AUS;Australia;9/5/1914;2/17/1917;Hughes III;0;0;0;32;75;CLP;Commonwealth Liberal Party;Commonwealth Liberal Party;7.4;33;724;1008;1007;2285
50;AUS;Australia;9/5/1914;2/17/1917;Hughes III;0;1;1;0;75;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;724;1008;1007;1905
51;AUS;Australia;9/5/1914;2/17/1917;Hughes III;0;0;0;24;75;NL;National Labor;National Labor;3.3;33;724;1008;1007;2003
52;AUS;Australia;9/5/1914;2/17/1917;Hughes III;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;724;1008;1007;1396
53;AUS;Australia;5/5/1917;5/5/1917;Hughes IV;0;0;0;22;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;750;1009;1008;1253
54;AUS;Australia;5/5/1917;5/5/1917;Hughes IV;0;1;1;53;75;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;750;1009;1008;1905
55;AUS;Australia;5/5/1917;1/10/1918;Hughes V;0;0;0;22;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;750;1010;1009;1253
56;AUS;Australia;5/5/1917;1/10/1918;Hughes V;0;1;1;53;75;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;750;1010;1009;1905
57;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;26;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;723;1011;1010;1253
58;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;1;75;FS-NSW;Farmers and Settlers (NSW);Farmers and Settlers (NSW);5.3;33;723;1011;1010;1913
59;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;1;75;INAT;Independet Nationalist;Independet Nationalist;#N/A;33;723;1011;1010;1903
60;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;1;1;37;75;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;723;1011;1010;1905
61;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;2;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;723;1011;1010;184
62;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;3;75;NF-NSW;Nationalist and Farmers (NSW);Nationalist and Farmers (NSW);#N/A;33;723;1011;1010;1918
63;AUS;Australia;12/13/1919;12/13/1919;Hughes VI;0;0;0;5;75;VFU-V;Victorian Farmers' Union;Victorian Farmers' Union;5.3;33;723;1011;1010;1929
64;AUS;Australia;12/16/1922;2/9/1923;Bruce I;0;0;0;30;76;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;726;1012;1011;1253
65;AUS;Australia;12/16/1922;2/9/1923;Bruce I;0;0;0;5;76;LP;Liberal Party;Liberal Party;7.4;33;726;1012;1011;2286
66;AUS;Australia;12/16/1922;2/9/1923;Bruce I;0;1;1;26;76;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;726;1012;1011;1905
67;AUS;Australia;12/16/1922;2/9/1923;Bruce I;0;1;0;14;76;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;726;1012;1011;184
68;AUS;Australia;12/16/1922;2/9/1923;Bruce I;0;0;0;1;76;none;no party affiliation;no party affiliation;#N/A;33;726;1012;1011;1396
69;AUS;Australia;11/14/1925;11/14/1925;Bruce II;0;0;0;24;76;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;727;1013;1012;1253
70;AUS;Australia;11/14/1925;11/14/1925;Bruce II;0;1;1;37;76;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;727;1013;1012;1905
71;AUS;Australia;11/14/1925;11/14/1925;Bruce II;0;1;0;14;76;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;727;1013;1012;184
72;AUS;Australia;11/14/1925;11/14/1925;Bruce II;0;0;0;1;76;none;no party affiliation;no party affiliation;#N/A;33;727;1013;1012;1396
73;AUS;Australia;11/17/1928;11/17/1928;Bruce III;0;0;0;32;76;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;728;1014;1013;1253
74;AUS;Australia;11/17/1928;11/17/1928;Bruce III;0;0;0;1;76;CPP-V;Country Progressive Party (Vic);Country Progressive Party (Vic);7.4;33;728;1014;1013;1914
75;AUS;Australia;11/17/1928;11/17/1928;Bruce III;0;1;1;29;76;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;728;1014;1013;1905
76;AUS;Australia;11/17/1928;11/17/1928;Bruce III;0;1;0;13;76;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;728;1014;1013;184
77;AUS;Australia;11/17/1928;11/17/1928;Bruce III;0;0;0;1;76;none;no party affiliation;no party affiliation;#N/A;33;728;1014;1013;1396
78;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;1;1;47;76;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;729;1015;1014;1253
79;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;0;0;1;76;CPP-V;Country Progressive Party (Vic);Country Progressive Party (Vic);7.4;33;729;1015;1014;1914
80;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;0;0;3;76;INAT;Independet Nationalist;Independet Nationalist;#N/A;33;729;1015;1014;1903
81;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;0;0;14;76;NAT;Nationalist Party of Australia;Nationalist Party of Australia;8.8;33;729;1015;1014;1905
82;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;0;0;10;76;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;729;1015;1014;184
83;AUS;Australia;10/12/1929;10/22/1929;Scullin;0;0;0;1;76;none;no party affiliation;no party affiliation;#N/A;33;729;1015;1014;1396
84;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;0;0;15;76;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;744;1016;1015;1253
85;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;0;0;6;76;EC-SA;Emergency Committee (SA);Emergency Committee (SA);6;33;744;1016;1015;1904
86;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;0;0;4;76;LLP;Lang Labour Party;Lang Labour Party;3.3;33;744;1016;1015;303
87;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;0;0;16;76;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;744;1016;1015;184
88;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;1;1;34;76;UAP;United Australia Party;United Australia Party;7.4;33;744;1016;1015;1912
89;AUS;Australia;12/19/1931;1/6/1932;Lyons I;0;0;0;1;76;none;no party affiliation;no party affiliation;#N/A;33;744;1016;1015;1396
90;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;2;75;ACP-V;Australian Country Party (Vic);Australian Country Party (Vic);7.4;33;746;1017;1016;1935
91;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;18;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;746;1017;1016;1253
92;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;5;75;LCL;Liberal and Country League;Liberal and Country League;3.3;33;746;1017;1016;1919
93;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;9;75;LLP;Lang Labour Party;Lang Labour Party;3.3;33;746;1017;1016;303
94;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;1;75;NAT-WA;Nationalist;Nationalist;7.4;33;746;1017;1016;1925
95;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;1;0;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;746;1017;1016;184
96;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;1;1;27;75;UAP;United Australia Party;United Australia Party;7.4;33;746;1017;1016;1912
97;AUS;Australia;9/15/1934;11/9/1934;Lyons II;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;746;1017;1016;1396
98;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;0;0;29;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;745;1018;1017;1253
99;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;0;0;1;75;IUAP-NSW;Independent UAP (NSW);Independent UAP (NSW);#N/A;33;745;1018;1017;1941
100;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;1;0;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;745;1018;1017;184
101;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;1;1;28;75;UAP;United Australia Party;United Australia Party;7.4;33;745;1018;1017;1912
102;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;0;0;3;75;VCP;Victorian Country Party;Victorian Country Party;7.4;33;745;1018;1017;1920
103;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;745;1018;1017;1396
104;AUS;Australia;10/23/1937;10/23/1937;Lyons III;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;745;1018;1017;2299
105;AUS;Australia;10/23/1937;4/7/1939;Page;1;0;0;29;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;745;1019;1018;1253
106;AUS;Australia;10/23/1937;4/7/1939;Page;1;0;0;1;75;IUAP-NSW;Independent UAP (NSW);Independent UAP (NSW);#N/A;33;745;1019;1018;1941
107;AUS;Australia;10/23/1937;4/7/1939;Page;1;1;1;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;745;1019;1018;184
108;AUS;Australia;10/23/1937;4/7/1939;Page;1;1;0;28;75;UAP;United Australia Party;United Australia Party;7.4;33;745;1019;1018;1912
109;AUS;Australia;10/23/1937;4/7/1939;Page;1;0;0;3;75;VCP;Victorian Country Party;Victorian Country Party;7.4;33;745;1019;1018;1920
110;AUS;Australia;10/23/1937;4/7/1939;Page;1;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;745;1019;1018;1396
111;AUS;Australia;10/23/1937;4/7/1939;Page;1;0;0;1;75;one-seat;one seat;one seat;#N/A;33;745;1019;1018;2299
112;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;29;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;745;1020;1019;1253
113;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;1;75;IUAP-NSW;Independent UAP (NSW);Independent UAP (NSW);#N/A;33;745;1020;1019;1941
114;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;745;1020;1019;184
115;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;1;1;28;75;UAP;United Australia Party;United Australia Party;7.4;33;745;1020;1019;1912
116;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;3;75;VCP;Victorian Country Party;Victorian Country Party;7.4;33;745;1020;1019;1920
117;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;745;1020;1019;1396
118;AUS;Australia;10/23/1937;4/26/1939;Menzies I;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;745;1020;1019;2299
119;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;0;0;29;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;745;1021;1020;1253
120;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;0;0;1;75;IUAP-NSW;Independent UAP (NSW);Independent UAP (NSW);#N/A;33;745;1021;1020;1941
121;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;1;0;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;745;1021;1020;184
122;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;1;1;28;75;UAP;United Australia Party;United Australia Party;7.4;33;745;1021;1020;1912
123;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;0;0;3;75;VCP;Victorian Country Party;Victorian Country Party;7.4;33;745;1021;1020;1920
124;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;745;1021;1020;1396
125;AUS;Australia;10/23/1937;3/14/1940;Menzies II;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;745;1021;1020;2299
126;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;0;0;32;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;738;1022;1021;1253
127;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;0;0;2;75;LCP-V;Liberal Country Party (Vic);Liberal Country Party (Vic);5.3;33;738;1022;1021;1939
128;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;0;0;4;75;LLP;Lang Labour Party;Lang Labour Party;3.3;33;738;1022;1021;303
129;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;1;0;10;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;738;1022;1021;184
130;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;1;1;23;75;UAP;United Australia Party;United Australia Party;7.4;33;738;1022;1021;1912
131;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;738;1022;1021;1396
132;AUS;Australia;9/21/1940;10/28/1940;Menzies III;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;738;1022;1021;2299
133;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;0;0;32;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;738;1023;1022;1253
134;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;0;0;2;75;LCP-V;Liberal Country Party (Vic);Liberal Country Party (Vic);5.3;33;738;1023;1022;1939
135;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;0;0;4;75;LLP;Lang Labour Party;Lang Labour Party;3.3;33;738;1023;1022;303
136;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;1;1;10;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;738;1023;1022;184
137;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;1;0;23;75;UAP;United Australia Party;United Australia Party;7.4;33;738;1023;1022;1912
138;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;738;1023;1022;1396
139;AUS;Australia;9/21/1940;8/29/1941;Fadden;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;738;1023;1022;2299
140;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;1;1;32;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;738;995;1023;1253
141;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;2;75;LCP-V;Liberal Country Party (Vic);Liberal Country Party (Vic);5.3;33;738;995;1023;1939
142;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;4;75;LLP;Lang Labour Party;Lang Labour Party;3.3;33;738;995;1023;303
143;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;10;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;738;995;1023;184
144;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;23;75;UAP;United Australia Party;United Australia Party;7.4;33;738;995;1023;1912
145;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;738;995;1023;1396
146;AUS;Australia;9/21/1940;10/7/1941;Curtin I;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;738;995;1023;2299
147;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;1;1;49;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;737;994;995;1253
148;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;1;75;CN-QLD;Country-National Party (Qld);Country-National Party (Qld);7.4;33;737;994;995;1933
149;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;1;75;LCL;Liberal and Country League;Liberal and Country League;3.3;33;737;994;995;1919
150;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;8;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;737;994;995;184
151;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;1;75;QC;Queensland Country Party;Queensland Country Party;7.4;33;737;994;995;1928
152;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;12;75;UAP;United Australia Party;United Australia Party;7.4;33;737;994;995;1912
153;AUS;Australia;8/21/1943;9/21/1943;Curtin II;0;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;737;994;995;1396
154;AUS;Australia;8/21/1943;7/6/1945;Forde;1;1;1;49;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;737;632;994;1253
155;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;1;75;CN-QLD;Country-National Party (Qld);Country-National Party (Qld);7.4;33;737;632;994;1933
156;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;1;75;LCL;Liberal and Country League;Liberal and Country League;3.3;33;737;632;994;1919
157;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;8;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;737;632;994;184
158;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;1;75;QC;Queensland Country Party;Queensland Country Party;7.4;33;737;632;994;1928
159;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;12;75;UAP;United Australia Party;United Australia Party;7.4;33;737;632;994;1912
160;AUS;Australia;8/21/1943;7/6/1945;Forde;1;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;737;632;994;1396
161;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;1;1;49;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;737;574;632;1253
162;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;1;75;CN-QLD;Country-National Party (Qld);Country-National Party (Qld);7.4;33;737;574;632;1933
163;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;1;75;LCL;Liberal and Country League;Liberal and Country League;3.3;33;737;574;632;1919
164;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;8;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;737;574;632;184
165;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;1;75;QC;Queensland Country Party;Queensland Country Party;7.4;33;737;574;632;1928
166;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;12;75;UAP;United Australia Party;United Australia Party;7.4;33;737;574;632;1912
167;AUS;Australia;8/21/1943;7/13/1945;Chifley I;0;0;0;3;75;none;no party affiliation;no party affiliation;#N/A;33;737;574;632;1396
168;AUS;Australia;9/28/1946;11/1/1946;Chifley II;0;1;1;43;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;739;490;574;1253
169;AUS;Australia;9/28/1946;11/1/1946;Chifley II;0;0;0;2;75;LCL;Liberal and Country League;Liberal and Country League;3.3;33;739;490;574;1919
170;AUS;Australia;9/28/1946;11/1/1946;Chifley II;0;0;0;1;75;LLP;Lang Labour Party;Lang Labour Party;3.3;33;739;490;574;303
171;AUS;Australia;9/28/1946;11/1/1946;Chifley II;0;0;0;15;75;LPA;Liberal Party of Australia;Liberal Party of Australia;7.3903;33;739;490;574;1411
172;AUS;Australia;9/28/1946;11/1/1946;Chifley II;0;0;0;12;75;NCP|NPA;National (Country) Party | National Party of Australia;National (Country) Party | National Party of Australia;7.8222;33;739;490;574;184
